numero_mapa,pais,region,comuna,tipologia,anio_fuente,fuente
1,Chile,Región de Arica y Parinacota,General Lagos,Rural,2024,CENSO 2024 - Mapa Chile Rural
2,Chile,Región de Arica y Parinacota,Putre,Rural,2024,CENSO 2024 - Mapa Chile Rural
3,Chile,Región de Arica y Parinacota,Camarones,Rural,2024,CENSO 2024 - Mapa Chile Rural
4,Chile,Región de Tarapacá,Camiña,Rural,2024,CENSO 2024 - Mapa Chile Rural
5,Chile,Región de Tarapacá,Colchane,Rural,2024,CENSO 2024 - Mapa Chile Rural
6,Chile,Región de Tarapacá,Huara,Rural,2024,CENSO 2024 - Mapa Chile Rural
7,Chile,Región de Tarapacá,Pica,Rural,2024,CENSO 2024 - Mapa Chile Rural
8,Chile,Región de Tarapacá,Pozo Almonte,Rural,2024,CENSO 2024 - Mapa Chile Rural
9,Chile,Región de Antofagasta,Ollagüe,Rural,2024,CENSO 2024 - Mapa Chile Rural
10,Chile,Región de Antofagasta,María Elena,Rural,2024,CENSO 2024 - Mapa Chile Rural
11,Chile,Región de Antofagasta,Tocopilla,Rural,2024,CENSO 2024 - Mapa Chile Rural
12,Chile,Región de Antofagasta,Mejillones,Rural,2024,CENSO 2024 - Mapa Chile Rural
13,Chile,Región de Antofagasta,Sierra Gorda,Rural,2024,CENSO 2024 - Mapa Chile Rural
14,Chile,Región de Antofagasta,San Pedro de Atacama,Rural,2024,CENSO 2024 - Mapa Chile Rural
15,Chile,Región de Antofagasta,Taltal,Rural,2024,CENSO 2024 - Mapa Chile Rural
16,Chile,Región de Atacama,Diego de Almagro,Rural,2024,CENSO 2024 - Mapa Chile Rural
17,Chile,Región de Atacama,Chañaral,Rural,2024,CENSO 2024 - Mapa Chile Rural
18,Chile,Región de Atacama,Caldera,Rural,2024,CENSO 2024 - Mapa Chile Rural
19,Chile,Región de Atacama,Tierra Amarilla,Rural,2024,CENSO 2024 - Mapa Chile Rural
20,Chile,Región de Atacama,Huasco,Rural,2024,CENSO 2024 - Mapa Chile Rural
21,Chile,Región de Atacama,Freirina,Rural,2024,CENSO 2024 - Mapa Chile Rural
22,Chile,Región de Atacama,Alto del Carmen,Rural,2024,CENSO 2024 - Mapa Chile Rural
23,Chile,Región de Coquimbo,La Higuera,Rural,2024,CENSO 2024 - Mapa Chile Rural
24,Chile,Región de Coquimbo,Vicuña,Rural,2024,CENSO 2024 - Mapa Chile Rural
25,Chile,Región de Coquimbo,Paiguano,Rural,2024,CENSO 2024 - Mapa Chile Rural
26,Chile,Región de Coquimbo,Andacollo,Rural,2024,CENSO 2024 - Mapa Chile Rural
